x,y,z
-9.450739562,-9.097774168,28.63485105
-9.409644326,-8.943465963,28.72090583
-9.357510152,-8.783947659,28.78598609
-9.294998684,-8.621407074,28.82948861
-9.222916736,-8.458025018,28.85114625
-9.142199499,-8.29592855,28.8510187
-9.053891098,-8.137148734,28.82947488
-8.95912327,-7.98358435,28.78716844
-8.859092955,-7.836972551,28.72500785
-8.755039584,-7.698866991,28.64412278
-8.648222834,-7.570623541,28.54582861
-8.539901485,-7.453393261,28.43159053
-8.431313966,-7.348121989,28.30298864
-8.323660991,-7.255555658,28.1616852
-8.218090597,-7.176250288,28.0093949
-8.115685734,-7.110585528,27.84785864
-8.017454452,-7.058780627,27.67882121
-7.924322621,-7.02091177,27.50401286
-7.83712901,-6.996929843,27.32513464
-7.756622518,-6.986677792,27.14384733
-7.683461269,-6.989906933,26.96176338
-7.618213267,-7.006291689,26.78044166
-7.561358305,-7.035442403,26.60138432
-7.513290797,-7.076915989,26.4260354
-7.474323252,-7.130224315,26.25578071
-7.444690092,-7.19484029,26.09194846
-7.424551586,-7.270201741,25.93581034
-7.413997664,-7.355713189,25.78858259
-7.41305145,-7.450745715,25.65142674
-7.42167236,-7.554635138,25.52544979
-7.439758651,-7.666678755,25.41170341
-7.467149369,-7.786130921,25.31118216
-7.503625644,-7.912197789,25.22482031
-7.548911329,-8.044031529,25.15348715
-7.602673022,-8.180724395,25.09798084
-7.664519531,-8.321303021,25.05902033
-7.734000871,-8.464723366,25.03723572
-7.81060693,-8.609866741,25.03315676
-7.893765956,-8.755537403,25.04719974
-7.982843049,-8.900462181,25.07965281
-8.077138892,-9.043292636,25.13066013
-8.175888945,-9.182610245,25.2002051
-8.278263374,-9.316935043,25.28809319
-8.383368004,-9.444738127,25.39393506
-8.490246563,-9.564458315,25.51713062
-8.597884515,-9.674523113,25.65685495
-8.705214728,-9.77337398,25.81204711
-8.811125213,-9.859495668,25.98140277
-8.914469101,-9.931449125,26.16337178
-9.014076933,-9.987907227,26.35616176
-9.108771292,-10.02769227,26.55774849
-9.19738363,-10.04981386,26.76589388
-9.278773059,-10.05350574,26.97817193
-9.351846731,-10.03825957,27.19200265
-9.415581273,-10.00385416,27.4046937
-9.469044654,-9.950377971,27.61348864
-9.511417728,-9.878243571,27.81562073
-9.542014642,-9.788192503,28.00837028
-9.560301254,-9.681289757,28.18912343
-9.565910756,-9.558907453,28.35543015
-9.558655727,-9.422697995,28.5050587
